Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8987475",0,1,0,"1413",5,150810,""
2,"8987476",0,1,1,"4",4,102736,""
3,"8987477",0,1,1,"2",2,126428,""
4,"8987478",0,1,0,"1411",5,43683,""
5,"8987479",0,1,0,"1580",5,34492,""
6,"8987480",0,1,1,"4",4,97063,""
7,"8987481",0,1,0,"1580",5,23056,""
8,"8987482",0,1,0,"1580",5,23029,""
9,"8987483",0,1,1,"2",2,119622,""
10,"8987484",0,1,0,"1441",5,15496,""
11,"8987485",0,1,0,"1580",5,23040,""
12,"8987486",0,1,1,"2",2,121218,""
13,"8987487",0,1,1,"2",2,113879,""
14,"8987488",0,1,0,"1407",5,14459,""
15,"8987489",0,1,0,"1161",8,23071,""
16,"8987490",0,1,0,"1580",5,23051,""
17,"8987491",0,1,0,"1580",5,23030,""
18,"8987492",0,1,0,"1580",5,23057,""
19,"8987493",0,1,0,"1580",5,23035,""
20,"8987494",0,1,0,"1580",5,23023,""
21,"8987495",0,1,0,"1414",5,14999,""
22,"8987496",0,1,0,"1580",5,23054,""
23,"8987497",0,1,0,"1580",5,23016,""
24,"8987498",0,1,0,"1580",5,23040,""
25,"8987499",0,1,1,"2",2,123731,""
26,"8987500",0,1,1,"4",4,79516,""
27,"8987501",0,1,0,"1580",5,23020,""
28,"8987502",0,1,0,"1580",5,23043,""
29,"8987503",0,1,1,"2",2,116123,""
30,"8987504",0,1,0,"1580",5,23113,""
31,"8987505",0,1,0,"1411",5,18319,""
32,"8987506",0,1,0,"1580",5,23048,""
33,"8987507",0,1,1,"4",4,83500,""
34,"8987508",0,1,0,"1408",5,9913,""
35,"8987509",0,1,0,"1580",5,23037,""
