SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1113","Continuity_Mux_Pos",1,1.5,1,1.5,1,0
"1580","PMBIST_Post_repair_Func_fail",1,37.3,25,37.3,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,7.5,5,7.5,1,0
"1413","TOP_SAF4_EXT_IF_SCAN_Fail",1,1.5,1,1.5,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,4.5,3,4.5,1,0
"2","Medium",1,28.4,19,28.4,1,0
"1434","TOP_SAF4_COL_ROW_LOGIC_Fail",1,1.5,1,1.5,1,0
"4","TOP ONLY",1,7.5,5,7.5,1,0
"3","Slow",1,1.5,1,1.5,1,0
"1407","PMBIST_POST_BURN_fail",1,9,6,9,1,0
