REGISTER WIDTH,32,,,,,,
,,,,,,,
,,7,bist_end_ceva_dtcm13,,,,
,,8,bist_end_ceva_dtcm20,,,,
,,9,bist_end_ceva_dtcm21,,,,
,,10,bist_end_ceva_dtcm22,,,,
,,11,bist_end_ceva_dtcm23,,,,
,,12,bist_end_ceva_dtcm30,,,,
,,13,bist_end_ceva_dtcm31,,,,
,,14,bist_end_ceva_dtcm32,,,,
,,15,bist_end_ceva_dtcm33,,,,
,,16,bist_err_ceva_dtcm00,,,,
,,17,bist_err_ceva_dtcm01,,,,
,,18,bist_err_ceva_dtcm02,,,,
,,19,bist_err_ceva_dtcm03,,,,
,,20,bist_err_ceva_dtcm10,,,,
,,21,bist_err_ceva_dtcm11,,,,
,,22,bist_err_ceva_dtcm12,,,,
,,23,bist_err_ceva_dtcm13,,,,
,,24,bist_err_ceva_dtcm20,,,,
,,25,bist_err_ceva_dtcm21,,,,
,,26,bist_err_ceva_dtcm22,,,,
,,27,bist_err_ceva_dtcm23,,,,
,,28,bist_err_ceva_dtcm30,,,,
,,29,bist_err_ceva_dtcm31,,,,
,,30,bist_err_ceva_dtcm32,,,,
,,31,bist_err_ceva_dtcm33,,,,
Register Address,Register Name:,Type,Default value,,,,
0x38,STATUS_CEVA_REG,rw,0x00000000,,,,
,,3:00,ceva_jtag_state,,,,
,,4,cevax_ocm_debug_r,,,,
,,6:05,cevax_seq_om_r,,,,
,,7,cevax_psu_core_wait_r,,,,
,,8,cevax_seq_int0_ack_n_r,,,,
,,9,cevax_seq_int1_ack_n_r,,,,
,,10,cevax_seq_int2_ack_n_r,,,,
,,11,cevax_seq_int3_ack_n_r,,,,
,,12,cevax_seq_int4_ack_n_r,,,,
,,13,cevax_seq_bp_ack_n_r,,,,
,,14,cevax_seq_nmi_ack_n_r,,,,
,,15,cevax_seq_vint_ack_n_r,,,,
,,16,cevax_ocm_ext2_ack_r,,,,
,,17,cevax_psu_cactive_r,,,,
,,18,cevax_psu_csysack_r,,,,
,,19,cevax_psu_dsp_idle_r,,,,
,,20,cevax_psu_core_idle_r,,,,
Register Address,Register Name:,Type,Default value,,,,
0x3C,CONFIG_CEVA0_REG,rw,0x00400000,,,,
,,0,external_wait,,,,
,,2:01,ceva_ext_int_edge_level,,,,
,,17:03,ceva_ext_int_level,,,,
,,19,ceva_ext_nmi,,,,
,,20,ceva_ext_bp2_req,,,,
,,22,ceva_ext_wd_timer_rst_n,,,,
,,23,ceva_csysreq,,,,
,,24,ceva_core_rcvr,,,,
,,25,ceva_cxwake_req,,,,
,,26,ceva_rtc_wake_up,,,,
Register Address,Register Name:,Type,Default value,,,,
0x40,TST_MODE_REG,rw,0x14000000,,,,
,,0,set_scan_mode,,,,
,,1,set_nand_tree_mode,,,,
,,2,set_scan_compress_en,,,,
,,3,set_scan_spread_en,,,,
,,4,set_scan_opcg_en,,,,
,,5,set_scan_iddq_en,,,,
,,31:24:00,fpga_flash_latency,,,,
Register Address,Register Name:,Type,Default value,,,,
0x44,STATUS_ARM_REG,rw,0x00000000,,,,
,,0,arm_spi_busy,,,,
,,2:01,arm_spi_mode,,,,
,,3,sfc_ahb_mas_prog_arm,,,,
,,4,sfc_ahb_slv_prog_arm,,,,
,,5,ceva_flash_avail_reg,,,,
,,11:06,power_latches_bus,,,,
,,27:24:00,version_mask,,,,
,,31:28:00,version_metal,,,,
Register Address,Register Name:,Type,Default value,,,,
0x64,CONFIG_CDMA_REG,rw,0x00000000,,,,
,,0,cdma_boot_start,,,,
,,1,cdma_boot_done,,,,
