REGISTER WIDTH,32,,,,,,
,,,,,,,
,,9:08,PLL_i2c_pllvco_var_code,,,,
Register Address,Register Name:,Type,Default value,,,,
0x14,DAC_FILT_DAC_FILT_REG,rw,0x00000010,,,,
,,0,EN_DAC,,,,
,,4,DAC_CLK_ON_OFF,,,,
,,3:01,DAC_TRIM_SW_TEST,,,,
Register Address,Register Name:,Type,Default value,,,,
0x40,DAC_CODE_CODE_16_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_32,,,,
,,5:00,dac_code_i_33,,,,
,,5:00,dac_code_i_32,,,,
,,5:00,dac_code_q_33,,,,
Register Address,Register Name:,Type,Default value,,,,
0x33,DAC_CODE_CODE_3_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_06,,,,
,,5:00,dac_code_q_07,,,,
,,5:00,dac_code_i_06,,,,
,,5:00,dac_code_i_07,,,,
Register Address,Register Name:,Type,Default value,,,,
0x3E,DAC_CODE_CODE_14_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_28,,,,
,,5:00,dac_code_i_28,,,,
,,5:00,dac_code_i_29,,,,
,,5:00,dac_code_q_29,,,,
Register Address,Register Name:,Type,Default value,,,,
0x30,DAC_CODE_CODE_0_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_01,,,,
,,5:00,dac_code_q_01,,,,
,,5:00,dac_code_q_00,,,,
,,5:00,dac_code_i_00,,,,
Register Address,Register Name:,Type,Default value,,,,
0x7F,DIGITAL_PART_REV_CODE_REG,rw,0x00000062,,,,
,,19:00,part_code,,,,
,,23:20,rev_code,,,,
Register Address,Register Name:,Type,Default value,,,,
0x53,DIGITAL_MIXED_DOC_DAC_TEST_REG,rw,0x0001A040,,,,
,,13:07,doc_dac_codeq_test,,,,
,,16,dc_sign_inverse,,,,
,,14,doc_dac_code_test_en,,,,
,,15,trx_test_en_ovrd,,,,
,,6:00,doc_dac_codei_test,,,,
Register Address,Register Name:,Type,Default value,,,,
0x41,DAC_CODE_CODE_17_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_35,,,,
,,5:00,dac_code_i_34,,,,
,,5:00,dac_code_q_34,,,,
