Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_80",318343,"Parametric","",-100,100,"uA",18.009,18.147,18.0621,0.060007,455.157,655.824,455.157,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_125",318360,"Parametric","",-100,100,"uA",17.967,19.468,18.1768,0.489113,55.763,80.5382,55.763,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_138",318377,"Parametric","",-100,100,"uA",17.999,18.781,18.1133,0.260497,104.783,151.139,104.783,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_53",318394,"Parametric","",-100,100,"uA",18.016,18.776,18.1039,0.252051,108.306,156.191,108.306,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_43",318411,"Parametric","",-100,100,"uA",18.028,18.04,18.0327,0.0044157,6187.57,8910.08,6187.57,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_167",318428,"Parametric","",-100,100,"uA",17.972,17.984,17.9781,0.00467616,5846.82,8409.91,5846.82,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_241",318445,"Parametric","",-100,100,"uA",17.999,18.011,18.0059,0.00508537,5374.51,7735,5374.51,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_251",318462,"Parametric","",-100,100,"uA",17.987,18.023,17.9982,0.0138996,1966.53,2829.78,1966.53,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_199",318479,"Parametric","",-100,100,"uA",18.014,19.293,18.1767,0.420294,64.8938,93.7255,64.8938,9,0,0,0.797797,***
"Leakage_High_Mux","leak_hi_mux_io_req_pad_data_153",318496,"Parametric","",-100,100,"uA",17.984,18.001,17.9939,0.00530161,5156.05,7418.75,5156.05,9,0,0,0.797797,***
