Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"VDD_Iddq_Boxlo_Pre_1_st","Iddq_Boxlo_Pre_100ns_T",10167,"Parametric","",0,55,"uA",3.94428,6.98256,5.24697,0.587593,2.97653,2.97653,28.2242,35,0,0,0.0308527,***
"VDDS_Iddq_Boxlo_Pre_2_st","Iddq_Boxlo_Pre_100ns_T",20167,"Parametric","",-1.5,0.5,"uA",-0.034692,0.586935,0.0829199,0.151345,0.918606,3.48633,0.918606,35,3,0,0.0514201,***
"VDDA2_Iddq_Boxlo_Pre_3_st","Iddq_Boxlo_Pre_100ns_T",30167,"Parametric","",10,515,"uA",88.6747,191.596,100.227,18.908,1.59063,1.59063,7.31213,35,0,0,0.142858,***
"VDDA_Iddq_Boxlo_Pre_4_st","Iddq_Boxlo_Pre_100ns_T",40167,"Parametric","",50,110,"uA",62.5704,83.6017,71.4973,6.12295,1.17031,1.17031,2.09609,35,0,0,0.0309176,***
"VDD_Iddq_Boxlo_Pre_5_st","Iddq_Boxlo_Pre_100ns_T",50167,"Parametric","",0,55,"uA",3.68033,6.36433,4.7417,0.530632,2.97865,2.97865,31.5714,35,0,0,0.0308287,***
"VDDS_Iddq_Boxlo_Pre_6_st","Iddq_Boxlo_Pre_100ns_T",60167,"Parametric","",-1.5,0.5,"uA",0.01619,0.590073,0.127885,0.140196,0.884749,3.87049,0.884749,35,3,0,0.0513973,***
"VDDA2_Iddq_Boxlo_Pre_7_st","Iddq_Boxlo_Pre_100ns_T",70167,"Parametric","",10,515,"uA",89.0679,191.084,100.734,18.7273,1.615,1.615,7.37365,35,0,0,0.0514115,***
"VDDA_Iddq_Boxlo_Pre_8_st","Iddq_Boxlo_Pre_100ns_T",80167,"Parametric","",50,165,"uA",89.6482,109.542,99.2948,5.29545,3.10296,3.10296,4.13596,35,0,0,0.0309298,***
"VDD_Iddq_Boxlo_Pre_9_st","Iddq_Boxlo_Pre_100ns_T",90167,"Parametric","",0,55,"uA",3.56215,6.05324,4.63752,0.527265,2.93181,2.93181,31.8388,35,0,0,0.0308905,***
"VDDS_Iddq_Boxlo_Pre_10_st","Iddq_Boxlo_Pre_100ns_T",100167,"Parametric","",-1.5,0.5,"uA",0.039674,0.599487,0.119067,0.143981,0.881908,3.74834,0.881908,35,3,0,0.0514903,***
"VDDA2_Iddq_Boxlo_Pre_11_st","Iddq_Boxlo_Pre_100ns_T",110167,"Parametric","",10,515,"uA",87.9277,192.267,100.605,18.8012,1.60638,1.60638,7.34697,35,0,0,0.0514721,***
