HW Bin,Desc,Site,Site%,Device#,Bin%
1,"",1,280,56,73.7
13,"",1,90,18,23.7
8,"",1,10,2,2.6
21,"",0,***,0,0
15,"",0,***,0,0
-1,"",0,***,0,0
12,"",0,***,0,0
11,"",0,***,0,0
