SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1111","Continuity_DIr_Pos",1,8,6,8,1,0
"1580","PMBIST_Post_repair_Func_fail",1,52,39,52,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",1,5.3,4,5.3,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,2.7,2,2.7,1,0
"1113","Continuity_Mux_Pos",1,13.3,10,13.3,1,0
"2","Medium",1,5.3,4,5.3,1,0
"1001","supply_short_fail",1,1.3,1,1.3,1,0
"4","TOP ONLY",1,4,3,4,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,4,3,4,1,0
"1493","TOP_SAF4_COL_ROW_SCAN_Fail",1,1.3,1,1.3,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,1.3,1,1.3,1,0
"1132","IDD_Dynamic_fail",1,1.3,1,1.3,1,0
