HW Bin,Desc,Site,Site%,Device#,Bin%
5,"Func_Fail",1,45.8,38,45.8
4,"BIN4",1,9.6,8,9.6
6,"Conti_Fail",1,26.5,22,26.5
7,"DC fail",1,14.5,12,14.5
2,"BIN2",1,3.6,3,3.6
