Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",0,1,"vdd_core",1,"8336653",0.0998994,"V","P",1.09228,***,""
"Supply_Short","Supply_Short_vcs_pll",211002,"",0,1,"vcs_pll",1,"8336653",0.0125536,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vcs_pm_1",211003,"",0,1,"vcs_pm_1",1,"8336653",0.0216966,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vcs_pm_2",211004,"",0,1,"vcs_pm_2",1,"8336653",0.0150194,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vcsio_pll",211007,"",0,1,"vcsio_pll",1,"8336653",0.000891426,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vcsio_ts",211008,"",0,1,"vcsio_ts",1,"8336653",0.00857382,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vcsio_vs_1",211009,"",0,1,"vcsio_vs_1",1,"8336653",0.00242986,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vcsio_vs_2",211010,"",0,1,"vcsio_vs_2",1,"8336653",0.00610976,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vdd_io_clk",211005,"",0,1,"vdd_io_clk",1,"8336653",0.012462,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vdd_pll",211006,"",0,1,"vdd_pll",1,"8336653",0.0199598,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vddio_io_clk",211011,"",0,1,"vddio_io_clk",1,"8336653",0.00854062,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vddio_pll",211012,"",0,1,"vddio_pll",1,"8336653",-0.000578522,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vddio_rx",211013,"",0,1,"vddio_rx",1,"8336653",0.0499593,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vddio_tx",211014,"",0,1,"vddio_tx",1,"8336653",0.0736026,"mA","P",0.282589,***,""
"Supply_Short","Supply_Short_vdd_core",211001,"",0,1,"vdd_core",1,"8336653",496.698,"mA","P",0.282589,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"",0,1,"io_req_pad_size_0",1,"8336653",0.758006,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"",0,1,"io_req_pad_data_30",1,"8336653",0.757852,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"",0,1,"io_req_pad_data_13",1,"8336653",0.757726,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"",0,1,"io_req_pad_addr_5",1,"8336653",0.757726,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"",0,1,"io_req_pad_size_1",1,"8336653",0.758006,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"",0,1,"io_req_pad_addr_9",1,"8336653",0.757575,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"",0,1,"dft_scan_scan_out_pad_o_4",1,"8336653",0.281143,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"",0,1,"io_req_pad_data_8",1,"8336653",0.757713,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"",0,1,"io_req_pad_data_4",1,"8336653",0.757713,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"",0,1,"io_rsp_pad_data_30",1,"8336653",0.28048,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"",0,1,"io_rsp_pad_data_26",1,"8336653",0.280757,"V","P",0.269019,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"",0,1,"io_req_pad_data_18",1,"8336653",0.757738,"V","P",0.269019,***,""
