Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"9426079",0,1,1,"2",2,137257,""
2,"9426080",0,1,0,"1413",5,18306,""
3,"9426081",0,1,1,"2",2,119814,""
4,"9426082",0,1,0,"1412",5,28058,""
5,"9426083",0,1,0,"1580",5,23560,""
6,"9426084",0,1,0,"1407",5,14366,""
7,"9426085",0,1,0,"1580",5,22975,""
8,"9426086",0,1,0,"1580",5,22979,""
9,"9426087",0,1,0,"1580",5,23008,""
10,"9426088",0,1,1,"4",4,93767,""
11,"9426089",0,1,0,"1411",5,23277,""
12,"9426090",0,1,0,"1411",5,23283,""
13,"9426091",0,1,0,"1406",5,9829,""
14,"9426092",0,1,0,"1580",5,22977,""
15,"9426093",0,1,0,"1580",5,22986,""
16,"9426094",0,1,0,"1580",5,22987,""
17,"9426095",0,1,0,"1407",5,14375,""
18,"9426096",0,1,1,"4",4,78966,""
19,"9426097",0,1,0,"1413",5,13264,""
20,"9426098",0,1,0,"1407",5,14403,""
21,"9426099",0,1,1,"2",2,116154,""
22,"9426100",0,1,0,"1131",7,3375,""
23,"9426100",0,1,0,"1131",7,3387,""
24,"9426100",0,1,0,"1131",7,3368,""
25,"9426101",0,1,0,"1580",5,22983,""
26,"9426102",0,1,0,"1580",5,22962,""
27,"9426103",0,1,0,"1580",5,22994,""
28,"9426104",0,1,0,"1412",5,27989,""
29,"9426105",0,1,0,"1406",5,9836,""
30,"9426106",0,1,0,"1580",5,22983,""
31,"9426107",0,1,1,"2",2,117582,""
32,"9426108",0,1,0,"1580",5,22976,""
33,"9426109",0,1,0,"1407",5,14412,""
34,"9426110",0,1,0,"1580",5,23033,""
35,"9426111",0,1,1,"4",4,79934,""
36,"9426112",0,1,0,"1414",5,15507,""
37,"9426113",0,1,0,"1580",5,23001,""
