Datalog report
Mon Feb  3 13:28:45 2025

                      Lot:  HT_data_with_RT
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_HT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  padmesh
                Test Code:  FT
         Test Temperature:  75C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P8336817"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
721101     vdd_core                                                            0.080V     <      0.0999V     <       0.120V      Site:1
221102     Supply_Short_HT_vcs_pll                                            -1.000mA    <      0.1430mA    <       1.000mA     Site:1
221103     Supply_Short_HT_vcs_pm_1                                           -1.000mA    <      0.1719mA    <       1.000mA     Site:1
221104     Supply_Short_HT_vcs_pm_2                                           -1.000mA    <      0.1613mA    <       1.000mA     Site:1
221107     Supply_Short_HT_vcsio_pll                                          -1.000mA    <      0.0286mA    <       1.000mA     Site:1
221108     Supply_Short_HT_vcsio_ts                                           -1.000mA    <      0.0283mA    <       1.000mA     Site:1
221109     Supply_Short_HT_vcsio_vs_1                                         -1.000mA    <      0.0222mA    <       1.000mA     Site:1
221110     Supply_Short_HT_vcsio_vs_2                                         -1.000mA    <      0.0298mA    <       1.000mA     Site:1
221105     Supply_Short_HT_vdd_io_clk                                         -1.000mA    <      0.1192mA    <       1.000mA     Site:1
221106     Supply_Short_HT_vdd_pll                                            -1.000mA    <      0.1148mA    <       1.000mA     Site:1
221111     Supply_Short_HT_vddio_io_clk                                       -1.000mA    <      0.0164mA    <       1.000mA     Site:1
221112     Supply_Short_HT_vddio_pll                                          -1.000mA    <     -0.0006mA    <       1.000mA     Site:1
221113     Supply_Short_HT_vddio_rx                                           -1.000mA    <      1.0802mA    <       2.000mA     Site:1
221114     Supply_Short_HT_vddio_tx                                           -1.000mA    <      1.0608mA    <       2.000mA     Site:1
221101     Supply_Short_HT_vdd_core                                           -1.000mA    <   4011.4965mA    <   10000.000mA     Site:1
110001     cont_row_even_col_even_io_req_pad_size_0                            0.200V     <      0.6711V     <       0.900V      Site:1
110002     cont_row_even_col_even_io_req_pad_data_30                           0.500V     <      0.6714V     <       0.900V      Site:1
110003     cont_row_even_col_even_io_req_pad_data_13                           0.500V     <      0.6724V     <       0.900V      Site:1
110004     cont_row_even_col_even_io_req_pad_addr_5                            0.500V     <      0.6736V     <       0.900V      Site:1
110005     cont_row_even_col_even_io_req_pad_size_1                            0.500V     <      0.6711V     <       0.900V      Site:1
110006     cont_row_even_col_even_io_req_pad_addr_9                            0.500V     <      0.6729V     <       0.900V      Site:1
110007     cont_row_even_col_even_dft_scan_scan_out_pad_o_4                    0.200V     <      0.2290V     <       0.400V      Site:1
110008     cont_row_even_col_even_io_req_pad_data_8                            0.500V     <      0.6731V     <       0.900V      Site:1
110009     cont_row_even_col_even_io_req_pad_data_4                            0.500V     <      0.6735V     <       0.900V      Site:1
110010     cont_row_even_col_even_io_rsp_pad_data_30                           0.200V     <      0.2306V     <       0.400V      Site:1
110011     cont_row_even_col_even_io_rsp_pad_data_26                           0.200V     <      0.2288V     <       0.400V      Site:1
110012     cont_row_even_col_even_io_req_pad_data_18                           0.500V     <      0.6721V     <       0.900V      Site:1
110013     cont_row_even_col_even_io_req_pad_addr_8                            0.500V     <      0.6731V     <       0.900V      Site:1
110014     cont_row_even_col_even_io_req_pad_addr_4                            0.500V     <      0.6733V     <       0.900V      Site:1
110015     cont_row_even_col_even_io_rsp_pad_data_21                           0.200V     <      0.2283V     <       0.400V      Site:1
110016     cont_row_even_col_even_io_req_pad_data_1                            0.500V     <      0.6735V     <       0.900V      Site:1
110017     cont_row_even_col_even_tap_tck_pad_i                                0.500V     <      0.6741V     <       0.900V      Site:1
110018     cont_row_even_col_even_io_rsp_pad_size_1                            0.200V     <      0.2319V     <       0.400V      Site:1
110019     cont_row_even_col_even_tap_tdi_pad_i                                0.500V     <      0.6740V     <       0.900V      Site:1
110020     cont_row_even_col_even_dft_scan_scan_out_pad_o_2                    0.200V     <      0.2287V     <       0.400V      Site:1
